"Rank","Username","Full Name","Points","vpc_a","vpc_b","vpc_c","vpc_d","vpc_e","vpc_f","vpc_g","vpc_h","vpc_i","vpc_j"
"1","ARowanA","ARowanA","1650","100","150","200 (1)","","350 (1)","400 (2)","450","? [1]","? [1]",""
"2","Code_Toàn_Bug","Code_Toàn_Bug","1325","100","150","200 (4)","","0? [4]","400","450 (3)","","25? [15]","? [7]"
"3","vOCS 4.0 100M","vOCS 4.0 100M","1300","100","150 (1)","200 (4)","","0? [9]","400 (3)","450 (1)","","",""
"4","Horizons","Horizons","1263.500","100","150","200 (2)","0 (2)","0? [15]","388 (3)","0 (1)","","292.500? [1]","133? [6]"
"5","CamelStyle1","CamelStyle1","1200","100 (1)","150","200","? [1]","350 (6)","400 (4)","? [1]","","? [1]",""
"6","Summer","Summer","1150","100","0? [2]","200 (3)","","? [11]","400","450 (3)","","",""
"7","Bát Cửu Lục","Bát Cửu Lục","1080","100 (14)","150 (1)","200","","350 (4)","280? [15]","0? [4]","","? [3]","? [1]"
"8","VPC162","VPC162","1075","100 (1)","150 (2)","200","0? [2]","350 (5)","","? [5]","","275","? [1]"
"9","VSS1","VSS1","1032","100 (1)","150","200","","0? [1]","132? [3]","450 (2)","","? [3]",""
"10","Cloudy","Cloudy","1000","100","150","0? [1]","0? [1]","350 (6)","400","","","? [3]",""
"11","Hello World","Hello World","940","100","150 (2)","200","","350 (2)","140 (1)","? [3]","","",""
"12","2K","2K","920","100","150","200","0 (1)","350 (2)","120","? [2]","","",""
"13","izziPass","izziPass","920","100","150","200 (1)","","350 (5)","120 (1)","? [2]","","? [2]","? [2]"
"14","CamelStyle3","CamelStyle3","900","100","150 (8)","200 (2)","","0? [4]","","450","","",""
"15","VCS-aJiant","VCS-aJiant","900","100 (8)","150 (12)","200 (1)","0 (3)","","? [2]","450","","? [3]",""
"16","Dark-horse68","Dark-horse68","875","100","150 (1)","200 (1)","","0? [4]","400 (4)","? [2]","","25 (3)",""
"17","VPC077","VPC077","844","100","150","200","","350 (6)","44? [4]","0? [7]","","",""
"18","Newbie","Newbie","818","100","150 (6)","200 (4)","","","368 (1)","0? [2]","","",""
"19","The man","The man","800","100","150","200 (1)","0 (2)","350 (5)","? [1]","0? [1]","","",""
"20","GPDN-PT2","GPDN-PT2","800","100","150 (7)","200 (1)","","350 (10)","? [4]","","","",""
"21","VPC075","VPC075","762","100","150 (7)","200 (1)","","0? [5]","312 (3)","","","",""
"22","IVA-J4F","IVA-J4F","734","100","? [1]","200 (1)","","350","84","? [2]","","",""
"23","VPC085","VPC085","718","100 (1)","150","200 (1)","","0? [3]","268 (2)","? [3]","","",""
"24","PHub","PHub","666","100","150 (3)","200 (1)","","? [7]","216? [1]","","","",""
"25","VPC088","VPC088","662","100 (1)","150 (1)","200 (1)","","? [1]","212 (1)","? [2]","? [6]","",""
"26","10_Hi","10_Hi","654","100 (1)","150","200","","? [3]","204","","","",""
"27","Cloud Number Two","Cloud Number Two","654","100 (4)","150 (3)","200 (1)","","0? [1]","204 (1)","0? [5]","","",""
"28","VPC086","VPC086","654","100 (1)","150 (1)","200","","","204 (3)","0 (1)","","",""
"29","GPDN-PT5","GPDN-PT5","630","100 (1)","150 (1)","200","","? [3]","180 (1)","","","",""
"30","VPC082","VPC082","622","100","150 (8)","200 (3)","","? [3]","172? [4]","","","",""
"31","Team Tech","Team Tech","622","100","150","200 (3)","? [3]","0? [3]","172 (6)","","","? [1]",""
"32","Leopard","Leopard","618","100 (1)","150 (1)","200","","0? [1]","168? [1]","? [1]","","",""
"33","TeamQDT","TeamQDT","595","100 (1)","150","200","","0? [1]","120","0 (1)","","25? [2]",""
"34","Jupiter","Jupiter","594","100 (1)","150 (2)","200","","0? [1]","144 (1)","0? [5]","","",""
"35","Peaky blinders","Peaky blinders","594","100 (4)","150 (2)","200 (2)","","","144","0? [3]","","",""
"36","NKT","NKT","594","100 (2)","150 (1)","200","0? [1]","0? [4]","144? [2]","","? [10]","",""
"37","Tech Titans","Tech Titans","594","100 (5)","150","200 (4)","","0? [10]","144","0 (3)","","",""
"38","The Little Boys","The Little Boys","594","100 (2)","150 (5)","200","","0 (1)","144? [1]","","","",""
"39","Chicken1","Chicken1","574","100 (3)","150","200 (1)","","? [8]","124 (2)","","","",""
