"Rank","Username","Full Name","Points","vpc_a","vpc_b","vpc_c","vpc_d","vpc_e","vpc_f","vpc_g","vpc_h","vpc_i","vpc_j"
"1","official_VPC036","Cloudy","2000","100","150","200 (5)","300 (3)","350 (6)","400","","","500 (2)",""
"2","official_VPC091","Code_Toàn_Bug","1944.500","100","150","200 (4)","","0 (5)","400","450 (3)","","357.500 (11)","287 (6)"
"3","official_VPC089","VSS1","1800","100 (1)","150","200","","350 (4)","400 (6)","450 (2)","","150 (2)",""
"4","official_VPC093","CamelStyle1","1750","100 (1)","150","200","0 (1)","350 (6)","400 (4)","450","","100",""
"5","official_VPC163","ARowanA","1650","100","150","200 (1)","","350 (1)","400 (2)","450","0 (1)","0 (1)",""
"6","official_VPC080","Horizons","1634.500","100","150","200 (2)","0 (2)","350 (21)","388 (3)","0 (1)","","292.500 (4)","154 (5)"
"7","official_VPC162","VPC162","1588","100 (1)","150 (2)","200","0 (8)","350 (5)","","450 (4)","","275","63"
"8","official_VPC001","Bát Cửu Lục","1539","100 (14)","150 (1)","200","","350 (4)","360 (3)","0 (8)","","50 (2)","329"
"9","official_VPC114","izziPass","1416","100","150","200 (1)","","350 (5)","120 (1)","450 (1)","","25","21 (1)"
"10","official_VPC002","Hello World","1390","100","150 (2)","200","","350 (2)","140 (1)","450 (2)","","",""
"11","official_VPC027","VCS-aJiant","1335","100 (8)","150 (12)","200 (1)","0 (3)","","120 (1)","450","","315 (2)",""
"12","official_VPC143","vOCS 4.0 100M","1300","100","150 (1)","200 (4)","","0 (15)","400 (3)","450 (1)","","",""
"13","official_VPC063","Dark-horse68","1225","100","150 (1)","200 (1)","","350 (5)","400 (4)","0 (2)","","25 (3)",""
"14","official_VPC140","VDS14","1200","100 (1)","150 (15)","200 (1)","","350 (21)","400 (1)","","","",""
"15","official_VPC087","Summer","1150","100","0 (12)","200 (3)","","0 (11)","400","450 (3)","","",""
"16","official_VPC005","Team Tech","1047","100","150","200 (3)","0 (3)","350 (12)","172 (6)","","","75",""
"17","official_VPC042","GPDN-PT2","1004","100","150 (7)","200 (1)","","350 (10)","204","","","",""
"18","official_VPC161","2K","920","100","150","200","0 (1)","350 (2)","120","0 (2)","","",""
"19","official_VPC128","The man","920","100","150","200 (1)","0 (2)","350 (5)","120","0 (5)","","",""
"20","official_VPC095","CamelStyle3","900","100","150 (8)","200 (2)","","0 (6)","","450","","",""
"21","official_VPC028","NSM-Suite","884","100 (3)","150","200","0 (1)","350 (15)","84","","","",""
"22","official_VPC077","VPC077","880","100","150","200","","350 (6)","80 (2)","0 (10)","","",""
"23","official_VPC151","Thủy Minh Quốc","880","100","150","200","","350 (6)","80","0 (13)","","",""
"24","official_VPC022","Newbie","818","100","150 (6)","200 (4)","","","368 (1)","0 (3)","","",""
"25","official_VPC075","VPC075","762","100","150 (7)","200 (1)","","0 (24)","312 (3)","","","",""
"26","official_VPC038","IVA-J4F","734","100","0 (1)","200 (1)","","350","84","0 (2)","","",""
"27","official_VPC026","TeamQDT","720","100 (1)","150","200","","0 (2)","120","0 (1)","","150 (3)",""
"28","official_VPC085","VPC085","718","100 (1)","150","200 (1)","","0 (12)","268 (2)","0 (3)","","",""
"29","official_VPC130","PHub","666","100","150 (3)","200 (1)","","0 (7)","216 (3)","","","",""
"30","official_VPC088","VPC088","662","100 (1)","150 (1)","200 (1)","","0 (1)","212 (1)","0 (2)","0 (6)","",""
"31","official_VPC082","VPC082","658","100","150 (8)","200 (3)","","0 (3)","208 (8)","","","",""
"32","official_VPC109","10_Hi","654","100 (1)","150","200","","0 (3)","204","","","",""
"33","official_VPC144","Cloud Number Two","654","100 (4)","150 (3)","200 (1)","","0 (8)","204 (1)","0 (6)","","",""
"34","official_VPC086","VPC086","654","100 (1)","150 (1)","200","","","204 (3)","0 (1)","","",""
"35","official_VPC111","Red Team","654","100 (3)","150 (7)","200","","","204","","","",""
"36","official_VPC045","GPDN-PT5","630","100 (1)","150 (1)","200","","0 (3)","180 (1)","","","",""
"37","official_VPC051","GPDN-PT10","630","100","150 (1)","200","","0 (3)","180","","","",""
"38","official_VPC154","9try0hope","626","100","150","200","","0 (10)","120","","","","56"
"39","official_VPC023","Leopard","618","100 (1)","150 (1)","200","","0 (2)","168 (3)","0 (1)","","",""
"40","official_VPC092","Không_Cần_Code","618","100","150 (10)","200 (5)","","0 (12)","168 (1)","","","",""
"41","official_VPC165","The Little Boys","610","100 (2)","150 (5)","200","","0 (1)","160 (2)","","","",""
"42","official_VPC149","Jupiter","594","100 (1)","150 (2)","200","","0 (6)","144 (1)","0 (8)","","",""
"43","official_VPC135","Peaky blinders","594","100 (4)","150 (2)","200 (2)","","","144","0 (6)","","",""
"44","official_VPC157","NKT","594","100 (2)","150 (1)","200","0 (4)","0 (9)","144 (2)","","0 (10)","",""
"45","official_VPC134","Tech Titans","594","100 (5)","150","200 (4)","","0 (21)","144","0 (3)","","",""
"46","official_VPC139","AHA","594","100 (1)","150","200","","0 (14)","144 (1)","","","",""
"47","official_VPC153","Xa gồi","594","100","150 (11)","200","","0 (4)","144","","","",""
"48","official_VPC099","Thi_Cho_Vui","586","100 (1)","150 (5)","200 (1)","","0 (3)","80","0 (5)","","","56"
"49","official_VPC101","Chicken1","574","100 (3)","150","200 (1)","","0 (8)","124 (2)","","","",""
"50","official_VPC164","Nobody","574","100 (1)","150 (2)","200 (2)","","","124 (1)","","","",""
"51","official_VPC069","NPC","570","100 (1)","150 (2)","200 (4)","","0 (6)","120","0 (11)","","",""
"52","official_VPC061","Tôi yêu Viettel","570","100 (3)","150 (4)","200 (1)","","0 (5)","120 (2)","","0 (2)","",""
"53","official_VPC083","VPC083","570","100","150 (6)","200","","0 (34)","120","","","",""
"54","official_VPC100","SouthPerfect","570","100","150 (4)","200","","0 (10)","120","0 (2)","","",""
"55","official_VPC159","SWWS","570","100","150 (3)","200","","0 (7)","120","0 (3)","","",""
"56","official_VPC015","QLDT1","570","100 (1)","150 (8)","200 (9)","","0 (2)","120","0 (1)","","",""
"57","official_VPC116","VDS2","570","100 (1)","150 (4)","200 (4)","","0 (1)","120 (5)","0 (1)","","",""
"58","official_VPC044","GPDN-PT4","570","100","150 (11)","200 (2)","","","120 (7)","","","",""
"59","official_VPC112","Chim cook","546","100 (1)","150","200","","","96 (2)","","","",""
"60","official_VPC076","VPC076","542","100","150","200","","0 (9)","92","0 (5)","","",""
"61","official_VPC003","VAS1","540","100 (2)","","200 (1)","","","240 (2)","","","",""
"62","official_VPC122","VDS8","534","100 (1)","150 (3)","200 (3)","","","84 (1)","0 (2)","","",""
"63","official_VPC035","Exam Pro","526","100 (1)","150","200 (6)","0 (6)","0 (12)","76 (2)","","","",""
"64","official_VPC047","GPDN-PT6","522","100 (13)","150","200 (4)","","","72 (2)","","","",""
"65","official_VPC018","Mobile","520","100 (1)","150 (3)","0 (2)","","","120","","","150 (1)",""
"66","official_VPC124","VDS10","504","100","","200","","0 (5)","204","","","",""
"67","official_VPC046","GPDN-PT1","492","100 (2)","0 (10)","","","","392","","0 (1)","",""
"68","official_VPC078","HKT","492","100 (1)","150","200","","0 (6)","","0 (5)","","","42 (4)"
"69","official_VPC021","SPM","486","100","150 (8)","","","0 (8)","236","0 (11)","","",""
"70","official_VPC152","Star Rail","474","100","150","200","","0 (7)","24","0 (1)","","",""
"71","official_VPC016","QLDT2","470","100 (5)","150 (4)","200 (1)","","","20","","","",""
"72","official_VPC160","OSINT","454","100","150","0 (3)","","","204","","","",""
"73","official_VPC017","QLBH","454","100 (3)","150 (7)","0 (8)","","0 (7)","204","","","",""
"74","official_VPC057","Mèo méo meo","454","100 (3)","150 (2)","0 (11)","","","204 (1)","","","",""
"75","official_VPC121","VDS7","454","100","150 (9)","","","0 (15)","204","","","",""
"76","official_VPC142","NoHope","451","100","150","","","","180 (4)","0 (3)","0 (1)","","21"
"77","official_VPC074","VPC074","450","100","150","200","","0 (7)","","","","0 (1)",""
"78","official_VPC147","TDH St","450","100","150 (3)","200","","0 (19)","0 (2)","","0 (2)","",""
"79","official_VPC006","Bhola","450","100 (1)","150","200 (2)","","0 (23)","0 (1)","0 (6)","","",""
"80","official_VPC043","GPDN-PT3","450","100","150 (2)","200 (4)","","0 (7)","","","","",""
"81","official_VPC053","3 chàng ngốc","450","100 (2)","150 (2)","200 (1)","","0 (4)","0 (1)","0 (3)","","",""
"82","official_VPC084","VPC084","450","100 (1)","150 (1)","200 (8)","","0 (28)","","0 (5)","","",""
"83","official_VPC137","MAC","450","100","150","200 (6)","","0 (2)","","0 (2)","","",""
